Player,Elo,Hard Elo,Clay Elo,Grass Elo
Urszula Radwanska,1410.3,1386.2,1393.6,1370.5
Lina Gjorcheska,1409.9,1307.8,1402.4,1428.8
Carol Zhao,1409.7,1356.6,1441.1,1305.7
Johanne Christine Svendsen,1408.4,1421.8,1374.6,1454.2
Antonia Ruzic,1407.8,1340.2,1376.7,1378.9
Cadence Brace,1404.9,1404.7,1275.3,1377.5
Nastasja Schunk,1404.9,1316.0,1388.3,1431.6
Cristina Dinu,1404.4,1300.0,1393.8,1328.9
Nigina Abduraimova,1401.9,1384.7,1245.4,1394.0
Carole Monnet,1400.9,1405.8,1313.9,1340.7
Jesika Maleckova,1400.0,1322.5,1412.7,1351.0
Ekaterine Gorgodze,1399.2,1313.2,1401.1,1399.7
Joanne Zuger,1398.6,1339.7,1401.4,1344.2
Weronika Falkowska,1398.3,1385.1,1296.5,1374.2
Carolina Alves,1397.1,1381.4,1383.2,1351.3
Sophie Chang,1396.9,1371.0,1338.0,1377.3
Lulu Sun,1394.4,1354.3,1297.6,1400.9
Ellie Douglas,1391.7,1408.7,1312.8,1370.8
Yuliana Lizarazo,1388.9,1380.2,1301.5,1369.5
Emiliana Arango,1387.8,1391.0,1306.3,1396.7
Francesca Di Lorenzo,1387.6,1368.3,1328.7,1305.9
Richel Hogenkamp,1387.4,1389.5,1358.4,1346.3
Ylona Georgiana Ghioroaie,1385.9,1327.5,1348.2,1367.9
Maia Lumsden,1384.9,1401.0,1307.5,1250.7
Seone Mendez,1384.1,1320.3,1369.1,1334.4
Jamie Loeb,1382.9,1386.3,1288.1,1346.4
Varvara Flink,1380.2,1350.8,1327.5,1434.0
Xiaodi You,1379.7,1351.4,1339.8,1331.7
Ankita Raina,1377.9,1340.0,1321.8,1255.7
En Shuo Liang,1377.2,1382.9,1314.1,1349.7
Natalia Szabanin,1376.9,1345.5,1346.2,1363.4
Andrea Gamiz,1376.9,1398.5,1345.8,1438.4
Raveena Kingsley,1376.1,1356.3,1290.3,1363.1
Andrea Lazaro Garcia,1375.9,1343.7,1316.8,1366.9
Irene Burillo Escorihuela,1374.8,1361.4,1354.4,1327.4
Angela Fita Boluda,1374.1,1296.9,1344.8,1362.1
Jenny Duerst,1373.3,1401.2,1298.5,1361.6
Karman Thandi,1370.1,1359.1,1282.7,1360.0
Grace Min,1369.4,1351.6,1345.8,1316.6
Whitney Osuigwe,1368.7,1343.9,1346.3,1267.0
